program_affiliation
EMEP
GAW-WDCA
ACTRIS
AMAP
AMAP_public
EUSAAR
ACTRIS_preliminary
GAW-WDCRG
NOAA-ESRL
NILU
EUSAAR_NRT
UNKNOWN
ARM
